,Climat,Location,Seuil,pvalue05,pvaluebest,AccuracyTrain,AccuracyTest,RecallTest,PrecisionTest,F1Test,AUC
59,,CoffsHarbour,0.5,5.646893827103247e-26,6.395948145535679e-28,0.8005104210974053,0.8027210884353742,0.35443037974683544,0.8,0.4912280701754386,0.8093538416249633
60,,MelbourneAirport,0.20799371600151062,5.489690568985463e-19,1.0746202180617171e-24,0.7731616119651018,0.7558139534883721,0.7142857142857143,0.46568627450980393,0.5637982195845698,0.8154447953572631
61,,MelbourneAirport,0.5,5.489690568985463e-19,1.0746202180617171e-24,0.8412962193601994,0.8172757475083057,0.2781954887218045,0.7254901960784313,0.40217391304347827,0.8154447953572631
62,,BadgerysCreek,0.2237207442522049,4.281458701353877e-31,2.98949375287147e-41,0.8457192524989136,0.8524305555555556,0.6890756302521008,0.6307692307692307,0.6586345381526104,0.860222863762573
63,,BadgerysCreek,0.5,4.281458701353877e-31,2.98949375287147e-41,0.8661451542807475,0.8541666666666666,0.3277310924369748,0.9069767441860465,0.48148148148148145,0.860222863762573
64,,NorahHead,0.3199600279331207,3.1280356412861894e-27,4.593762593407535e-40,0.7991341991341991,0.8183391003460208,0.7465753424657534,0.615819209039548,0.674922600619195,0.8608098680872653
65,,NorahHead,0.5,3.1280356412861894e-27,4.593762593407535e-40,0.8038961038961039,0.8166089965397924,0.3219178082191781,0.8703703703703703,0.47000000000000003,0.8608098680872653
66,,WaggaWagga,0.21289664506912231,4.8725033763552575e-25,2.6251217487390107e-43,0.8423499577345731,0.8378378378378378,0.8181818181818182,0.5421686746987951,0.6521739130434783,0.9001414560543191
67,,WaggaWagga,0.5,4.8725033763552575e-25,2.6251217487390107e-43,0.878698224852071,0.856418918918919,0.24545454545454545,0.9310344827586207,0.3884892086330935,0.9001414560543191
68,,SydneyAirport,0.26547983288764954,3.9866559211555477e-23,9.128620095193269e-27,0.79375,0.7670549084858569,0.6944444444444444,0.5102040816326531,0.588235294117647,0.8262141380987115
69,,SydneyAirport,0.5,3.9866559211555477e-23,9.128620095193269e-27,0.8283333333333334,0.8136439267886856,0.3125,0.7758620689655172,0.4455445544554455,0.8262141380987115
70,,Dartmoor,0.2919449210166931,3.8110216308364854e-31,4.3856096904168033e-42,0.8047639302424501,0.8027210884353742,0.7976190476190477,0.6203703703703703,0.6979166666666666,0.8583262471655329
71,,Dartmoor,0.5,3.8110216308364854e-31,4.3856096904168033e-42,0.8209272649936198,0.8061224489795918,0.4166666666666667,0.813953488372093,0.5511811023622047,0.8583262471655329
72,,Walpole,0.3304772973060608,1.0622087009718435e-33,2.3121184842778884e-37,0.828971119133574,0.7888086642599278,0.7156862745098039,0.7121951219512195,0.7139364303178484,0.8597899159663867
73,,Walpole,0.5,1.0622087009718435e-33,2.3121184842778884e-37,0.8226534296028881,0.7779783393501805,0.45588235294117646,0.8857142857142857,0.6019417475728155,0.8597899159663867
74,,PerthAirport,0.21295198798179626,1.0077974698135884e-46,1.3841720849447154e-55,0.8791026173660158,0.8654485049833887,0.8387096774193549,0.6303030303030303,0.7197231833910034,0.9179207720340127
75,,PerthAirport,0.5,1.0077974698135884e-46,1.3841720849447154e-55,0.8890735355213959,0.8787375415282392,0.4435483870967742,0.9322033898305084,0.6010928961748634,0.9179207720340127
76,,Woomera,0.08912964165210724,2.6976520848068754e-14,2.1182927783665167e-07,0.6757436112274822,0.6666666666666666,0.8125,0.1187214611872146,0.20717131474103584,0.7954369469026549
77,,Woomera,0.5,2.6976520848068754e-14,2.1182927783665167e-07,0.9455383326351068,0.9530988274706867,0.15625,0.8333333333333334,0.2631578947368421,0.7954369469026549
78,,Moree,0.14434471726417542,7.050500007322244e-23,1.866945926257489e-28,0.8418458781362007,0.815742397137746,0.84375,0.3673469387755102,0.5118483412322276,0.8849589646464647
79,,Moree,0.5,7.050500007322244e-23,1.866945926257489e-28,0.9148745519713262,0.9087656529516994,0.265625,0.8095238095238095,0.4,0.8849589646464647
80,,Watsonia,0.2319307029247284,7.366812175325914e-20,7.939952934490895e-37,0.7951505016722408,0.7859531772575251,0.7696969696969697,0.5852534562211982,0.6649214659685864,0.8454545454545453
81,,Watsonia,0.5,7.366812175325914e-20,7.939952934490895e-37,0.8235785953177257,0.7809364548494984,0.2727272727272727,0.8035714285714286,0.4072398190045249,0.8454545454545453
82,,Portland,0.3463059067726135,1.4812824568844827e-31,1.7280373047073997e-34,0.7884373690825304,0.7537688442211056,0.7906976744186046,0.625,0.6981519507186857,0.8301351515889444
83,,Portland,0.5,1.4812824568844827e-31,1.7280373047073997e-34,0.808965228320067,0.7705192629815746,0.5209302325581395,0.7671232876712328,0.6204986149584487,0.8301351515889444
84,,Nuriootpa,0.2452698051929474,1.2490877039371028e-24,4.93685000605093e-42,0.8827212020033389,0.8466666666666667,0.7614678899082569,0.5570469798657718,0.6434108527131782,0.8803602458939817
85,,Nuriootpa,0.5,1.2490877039371028e-24,4.93685000605093e-42,0.8752086811352254,0.855,0.3486238532110092,0.7037037037037037,0.4662576687116564,0.8803602458939817
86,,Mildura,0.12799566984176636,4.78277417887649e-06,4.042777165188949e-23,0.8248752079866889,0.8069883527454242,0.7931034482758621,0.30666666666666664,0.4423076923076923,0.8721820029211913
87,,Mildura,0.5,4.78277417887649e-06,4.042777165188949e-23,0.918053244592346,0.9051580698835274,0.10344827586206896,0.5454545454545454,0.17391304347826086,0.8721820029211913
88,,Sale,0.25381729006767273,5.2658636975444175e-12,5.753872403016008e-27,0.7964897618052653,0.7746243739565943,0.6992481203007519,0.4946808510638298,0.5794392523364486,0.8040998418793766
89,,Sale,0.5,5.2658636975444175e-12,5.753872403016008e-27,0.8282490597576264,0.8030050083472454,0.16541353383458646,0.7586206896551724,0.2716049382716049,0.8040998418793766
90,,Katherine,0.1562461405992508,4.76396918110817e-09,1.4540716451529348e-17,0.790453074433657,0.7540453074433657,0.9565217391304348,0.3728813559322034,0.5365853658536585,0.8896925111588693
91,,Katherine,0.5,4.76396918110817e-09,1.4540716451529348e-17,0.8705501618122977,0.8705501618122977,0.2391304347826087,0.6875,0.3548387096774194,0.8896925111588693
92,,Uluru,0.10317230969667435,1.715900195280999e-17,4.755342596589691e-13,0.8184845961698585,0.8239202657807309,1.0,0.2318840579710145,0.37647058823529417,0.969078947368421
93,,Uluru,0.5,1.715900195280999e-17,4.755342596589691e-13,0.9350541215653622,0.9634551495016611,0.3125,1.0,0.47619047619047616,0.969078947368421
94,,Nhil,0.2487262487411499,1.8979436338695718e-05,5.2390493184447e-26,0.902555910543131,0.8945686900958466,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.8834991708126037
95,,Nhil,0.5,1.8979436338695718e-05,5.2390493184447e-26,0.889776357827476,0.8626198083067093,0.17777777777777778,0.5714285714285714,0.2711864406779661,0.8834991708126037
